,College Code,College Name,Category Name,University,District,Zone,Group,branch,Total No of students,1st year,2nd year,3rd year,4th year
785,4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,204,60,57,43,44
786,4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,228,60,66,58,44
787,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electrical and Electronics Engineering,171,50,50,33,38
788,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.Tech Information Technology,321,105,116,45,55
789,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Mechanical Engineering,245,50,67,47,81
790,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,396,171,105,64,56
791,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,601,163,189,144,105
792,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.Tech Computer Science and Business Systems,48,48,0,0,0
793,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.Tech Artificial Intelligence and Data Science,57,57,0,0,0
794,4216,Mailam engineering college,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Civil Engineering,63,19,18,10,16
795,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Civil Engineering,6,1,5,0,0
796,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Mechanical Engineering,38,8,18,0,12
797,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.Tech Agriculture Engineering,48,39,9,0,0
798,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,32,22,8,0,2
799,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,92,53,24,6,9
800,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,25,6,10,9,0
801,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Mechanical Engineering,147,9,65,69,4
802,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electrical and Electronics Engineering,111,4,61,41,5
803,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,129,43,42,29,15
804,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Civil Engineering,27,0,19,8,0
805,4221,St. Anne's College of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,176,60,57,33,26
806,4221,St. Anne's College of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Electrical and Electronics Engineering,124,26,51,32,15
807,4221,St. Anne's College of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering,88,26,21,24,17
808,4221,St. Anne's College of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,120,58,34,18,10
809,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Automobile Engineering,41,5,13,18,5
810,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering,140,4,39,81,16
811,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,188,55,52,58,23
812,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Electrical and Electronics Engineering,94,18,23,42,11
813,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,82,36,30,12,4
814,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Civil Engineering,52,1,20,27,4
815,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.Tech Artificial Intelligence and Data Science,54,54,0,0,0
816,4222,Surya Group of Institutions ,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Aeronautical Engineering,42,11,9,13,9
817,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,47,17,14,5,11
818,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,150,46,31,33,40
819,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electronics and instrumentation engineering,7,0,0,0,7
820,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electrical and Electronics Engineering,44,4,10,12,18
821,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Automobile Engineering,11,0,4,1,6
822,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Aeronautical Engineering,22,8,0,8,6
823,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.Tech Information Technology,137,57,31,23,26
824,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Civil Engineering,9,0,4,0,5
825,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Mechanical Engineering,63,9,19,15,20
826,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,157,46,41,31,39
827,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Civil Engineering,88,23,32,21,12
828,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,195,57,53,43,42
829,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.E Civil Engineering (Tamil Medium),23,7,8,6,2
830,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,B.Tech Information Technology,200,55,54,50,41
831,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,211,50,50,57,54
832,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.Tech Information Technology,206,53,49,57,47
833,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,219,49,56,60,54
834,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering,191,28,53,54,56
835,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering (Tamil Medium),28,6,13,6,3
836,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Civil Engineering,72,11,32,20,9
837,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering,147,22,46,40,39
838,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering (Tamil Medium),10,4,5,0,1
839,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Civil Engineering (Tamil Medium),12,4,4,2,2
840,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,197,53,45,49,50
841,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Electrical and Electronics Engineering,167,40,58,39,30
842,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,146,53,44,27,22
843,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Electronics and Communication Engineering,158,56,46,36,20
844,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Civil Engineering,91,42,14,25,10
845,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Computer Science and Engineering,202,58,62,52,30
846,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Mechanical Engineering,227,65,71,58,33
847,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,B.E Electrical and Electronics Engineering,142,51,39,31,21
848,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.Tech Information Technology,85,27,28,14,16
849,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Computer Science and Engineering,171,51,62,35,23
850,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Mechanical Engineering,43,10,16,10,7
851,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,113,50,32,18,13
852,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,60,21,18,12,9
853,5101,Adhiparasakthi College of Engineering,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Civil Engineering,21,7,2,6,6
854,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Mechanical Engineering,130,0,50,48,32
855,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,41,2,10,18,11
856,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,94,4,22,50,18
857,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Civil Engineering,60,2,10,38,10
858,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Computer Science and Engineering,67,22,27,10,8
859,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,29,0,8,14,7
860,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.Tech Information Technology,12,4,5,3,0
861,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Instrumentation and Control Engineering,3,0,3,0,0
862,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.Tech Biotechnology,11,1,6,2,2
863,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.Tech Chemical Engineering,18,1,14,2,1
864,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Computer Science and Engineering,35,10,16,7,2
865,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Civil Engineering,13,1,2,10,0
866,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Mechanical Engineering,91,0,38,45,8
867,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,29,0,15,13,1
868,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Mechanical Engineering,199,25,49,56,69
869,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Automobile Engineering,6,0,0,0,6
870,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering (CyberSecurity),60,60,0,0,0
871,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electronics and Communication Engineering,260,117,62,48,33
872,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.Tech Information Technology,203,60,62,47,34
873,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.Tech Chemical Engineering,76,10,15,24,27
874,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electrical and Electronics Engineering,200,41,66,52,41
875,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.Tech Artificial Intelligence and Data Science,60,60,0,0,0
876,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.Tech Biotechnology,154,45,49,36,24
877,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Computer Science and Engineering,469,120,127,113,109
878,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Civil Engineering,94,25,27,26,16
879,5104,Arunai Engineering College,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,B.E Electronics and instrumentation engineering,3,0,0,0,3
880,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.E Electrical and Electronics Engineering,70,31,12,15,12
881,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.E Civil Engineering,23,6,5,6,6
882,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.Tech Information Technology,154,60,56,14,24
883,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.E Electronics and Communication Engineering,105,60,19,10,16
884,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.E Mechanical Engineering,88,27,22,16,23
885,5105,Bharathidasan Engineering College ,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,Zone VII : Dharmapuri,2.0,B.E Computer Science and Engineering,181,60,58,37,26
886,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.Tech Information Technology,245,87,58,60,40
887,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Aeronautical Engineering,11,0,0,6,5
888,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,130,55,35,17,23
889,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,61,16,15,21,9
890,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Mechanical Engineering,92,13,22,32,25
891,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.Tech Artificial Intelligence and Data Science,30,30,0,0,0
892,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Civil Engineering,32,4,9,13,6
893,5106,C.  Abdul Hakeem college of engineering and technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Computer Science and Engineering,409,119,117,95,78
894,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Computer Science and Engineering,137,56,31,25,25
895,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,41,3,15,19,4
896,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Mechanical Engineering,44,0,17,24,3
897,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.Tech Artificial Intelligence and Data Science,29,29,0,0,0
898,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,59,22,22,10,5
899,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.Tech Information Technology,132,60,33,25,14
900,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.Tech Information Technology,245,86,64,56,39
901,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Automobile Engineering,37,7,14,7,9
902,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,67,25,19,15,8
903,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Computer Science and Engineering,236,78,61,48,49
904,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.Tech Petroleum Engineering,12,0,0,5,7
905,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,137,45,43,27,22
906,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Mechanical Engineering,128,19,38,38,33
907,5109,Global Institute of Engineering and Technology,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,Zone VI : Arni,2.0,B.E Civil Engineering,41,0,15,17,9
908,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,17,0,12,5,0
909,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,B.E Mechanical Engineering,28,2,17,9,0
910,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,B.E Computer Science and Engineering,5,4,0,1,0
911,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,B.E Civil Engineering,8,0,4,4,0
912,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone VI : Arni,2.0,B.E Electronics and Communication Engineering,1,0,0,1,0
913,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Civil Engineering,4,0,1,3,0
914,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Electrical and Electronics Engineering,34,0,12,13,9
915,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.Tech Information Technology,179,58,50,36,35
916,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.E Mechanical Engineering,60,10,13,17,20
917,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.Tech Computer Science and Business System,28,28,0,0,0
918,5113,KINGSTON ENGINEERING COLLEGE,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,Zone VI : Arni,2.0,B.Tech Artificial Intelligence and Data Science,59,59,0,0,0
